media,varianza,asimetria,curtosis,maximo,minimo,medias_fourier,varianzas_fourier,asimetria_fourier,curtosis_fourier,maximos_fourier,minimos_fourier,nombre_imagen,directorio
130.51749638564857,656.413339738231,-1.6008241128052152,4.302548498339458,185,0,6482.414482860059,182628846523.4722,3043.7396155186834,9579546.06273897,1347658931.0,0.5025521643728575,DSC00893.JPG,A
128.18018239109685,552.4830667196583,-2.6114328314114634,6.813858451716154,217,2,11579.167751628816,175220263094.1794,3063.909647174979,9679375.2783673,1323524986.0,1.7839368922346988,DSC02003.JPG,A
129.91053792628426,570.7798783686069,-2.5230682299770355,6.605172654999004,231,0,13498.823269223052,179972299267.34625,3064.1940379255584,9680475.311350686,1341391779.0,1.3096808990346778,DSC02005.JPG,A
128.16486129878018,745.2153578719025,-1.5731103715920658,3.791724296270724,188,0,6764.645131791568,177258084566.241,3016.110847908376,9456002.606501006,1323366788.0,1.3037368871210269,DSC00899.JPG,A
125.33537888320028,1166.1894983222278,-1.6718013456952212,2.9982986274346617,192,0,6818.013376089944,174197909425.60355,2898.3019562661707,8955059.116433078,1294150956.0,1.510692056161928,DSC00933.JPG,A
119.62765778793946,1450.462259305922,-1.4616905077089475,1.7092988843685424,176,0,6706.29928375609,162697759484.91666,2802.4175062822796,8524180.715042442,1235215859.0,0.9193959117580535,DSC00921.JPG,A
129.89227780067685,568.7788330822208,-2.4287995769231596,6.067878192169486,228,0,13681.369279232056,179897691308.64545,3064.7618910657466,9683048.96974648,1341203234.0,2.810886146736796,DSC02012.JPG,A
130.09670075184707,618.2644242689262,-1.594842270035185,4.595926664697231,212,0,6764.618239310152,181098851720.07626,3051.906357308294,9616750.352681369,1343314004.0,0.5565124342572324,DSC00906.JPG,A
130.12751271027545,562.5159077520792,-2.4942156971449307,6.178517240789041,230,1,12024.474799452666,180507182328.79755,3065.907047450116,9687683.948884994,1343632153.0,3.8139857501184484,DSC02011.JPG,A
130.51057197789086,750.9102668453105,-2.19574147975575,4.133459563437967,240,0,12138.473209460686,183480591103.1431,3020.0526566605204,9487479.956311895,1347587433.0,1.2912684204230958,DSC01982.JPG,A
123.93319096094486,986.0846044563953,-1.6306112672075943,3.199148217907913,179,0,7042.879907043846,168726134385.61517,2937.6523714583996,9124738.715424685,1279672659.0,1.0733258383852646,DSC00915.JPG,A
125.13569962299177,1196.5542719431767,-1.559825252820194,2.521996918738952,188,0,6891.29096673727,173994017917.81168,2894.211952320874,8921534.315889409,1292089167.0,0.9371887368891235,DSC00927.JPG,A
129.54088042578843,909.398299000475,-1.2154350655274613,2.548652769465864,193,3,6137.112175647555,182622959089.14355,2978.77545632778,9297358.68491315,1337574879.0,0.714876244110689,DSC00882.JPG,A
130.5070770395324,699.394301416416,-2.5000208667909463,5.634198157851259,232,0,10522.912861018714,182975854288.91934,3031.8509152751813,9538814.085603762,1347551346.0,1.5206341925649514,DSC02018.JPG,A
130.6372646797677,679.9045186620644,-2.318602198704539,5.048666551320826,233,0,12875.946442358289,183070598222.2133,3038.298013613613,9566916.124168288,1348895599.0,2.022877096013029,DSC02023.JPG,A
130.07197740662343,545.3344829632972,-2.5919842532955935,6.908768817659778,223,2,12212.110702939157,180176021611.17908,3070.150287487995,9706689.589375764,1343058723.0,3.193804815555923,DSC02013.JPG,A
130.26024424570463,731.8809732575196,-2.2764347954827735,4.51645749802333,237,0,12513.081027291571,182600839416.20483,3024.195713248941,9505789.143506678,1345002673.0,1.8077806732891015,DSC02001.JPG,A
128.96026615262556,870.5527776963681,-1.2168869802899986,2.679607974308686,195,0,6860.749637010313,180662704492.41806,2986.540274578734,9330945.460983017,1331579744.0,0.8694346068975837,DSC00883.JPG,A
128.9542598598577,624.8053456169514,-1.5851080033268907,4.402076051906639,216,0,6949.688672513247,178108014769.35507,3047.6580332551157,9597832.467096584,1331517726.0,0.3792379532499067,DSC00897.JPG,A
124.0419093344015,1239.6285755508084,-1.5623561127856405,2.417529766355237,181,0,7310.235548782075,171618636191.22128,2877.6415593416637,8853512.042568889,1280795231.0,1.0182934992749966,DSC00920.JPG,A
127.09255557888505,1010.263836923284,-1.5532210746794017,2.8290505700337123,179,0,6633.786908668984,177170362112.2504,2944.5644123429097,9152668.68260469,1312294691.0,0.9062484726088389,DSC00929.JPG,A
123.0918111115932,1229.7909465178125,-1.472338161161962,2.03863163975198,177,0,6820.470475953168,169099536588.4868,2877.0134757474816,8844547.35616722,1270984988.0,0.5481081569376242,DSC00918.JPG,A
127.82584181847201,771.592093460306,-2.1802215246676706,3.871391918040831,233,0,11232.49474054525,176553921652.9036,3006.8072061437015,9429257.131448645,1319866241.0,0.8908159574528633,DSC01994.JPG,A
124.54555051259483,1192.169807123826,-1.499724305370171,2.26822267916447,197,0,7357.599456144073,172420647310.24298,2889.993354430113,8913540.391709063,1285995580.0,1.2151814324565215,DSC00907.JPG,A
130.5633520649452,717.1816173577138,-2.234246343293836,4.661609541406616,238,0,14329.666499240744,183216609316.02103,3029.734211004782,9530073.126066651,1348132414.0,1.0802098677458718,DSC02022.JPG,A
130.9146584999628,694.2836120718391,-2.339806045574932,4.845713401223123,227,0,10532.459422130978,184023072030.52127,3034.1929166945206,9548930.210726034,1351759830.0,2.429389616901955,DSC01999.JPG,A
128.27729406719516,716.9467375490337,-2.2801233588184027,4.81642358545067,231,0,13805.324936017874,177119080350.41086,3023.1563744515483,9501901.032029483,1324527713.0,2.7608976234854405,DSC02019.JPG,A
126.00792755491645,1139.0036961955639,-1.6684079203285243,3.0432987409281775,179,0,6793.467391453389,175662965886.80127,2909.175730238712,8997447.8425369,1301095360.0,1.460864675400513,DSC00922.JPG,A
129.93327628365648,696.6768651966308,-2.31985277242484,4.742900386687151,216,0,11440.939827342354,181384579663.86722,3031.477356333404,9537309.56758605,1341626564.0,2.1338342107505555,DSC02002.JPG,A
129.3813430317784,793.3003997008891,-2.1216900768194114,3.6389965949409984,228,0,11539.791772269167,180902163502.85297,3006.3541376720036,9426697.443337776,1335927575.0,0.47522261665898075,DSC01995.JPG,A
129.31820877702435,747.5557183688504,-2.1445626806852296,3.871171060267442,231,0,11955.438764822753,180251416463.9404,3017.599106475101,9476197.790267486,1335275682.0,1.454069363295263,DSC01993.JPG,A
